strata,year,biomass,cv
WGOA (501-700 m),2001,NA,NA
WGOA (501-700 m),2003,5886.6,0.2903266966358377
WGOA (501-700 m),2005,6377.3,0.08037885755431431
WGOA (501-700 m),2007,2589.9,0.1450639583125857
WGOA (501-700 m),2009,5605.4,0.22210497585137276
WGOA (501-700 m),2011,2271.7,0.6641916153042213
WGOA (501-700 m),2013,2738.6,0.08457877821244954
WGOA (501-700 m),2015,2732.7,0.19538788337639781
WGOA (501-700 m),2017,2739.6,0.3869845308281555
WGOA (501-700 m),2019,7991.7,0.48043868200814677
WGOA (501-700 m),2021,4268.7,0.20060932054633412
WGOA (701-1000 m),1984,2024.1,0.45968869740744256
WGOA (701-1000 m),1987,577.1,0.08983688043847128
WGOA (701-1000 m),1990,NA,NA
WGOA (701-1000 m),1993,NA,NA
WGOA (701-1000 m),1996,NA,NA
WGOA (701-1000 m),1999,1679,0.1
WGOA (701-1000 m),2001,NA,NA
WGOA (701-1000 m),2003,NA,NA
WGOA (701-1000 m),2005,3277.2,0.23914431620530044
WGOA (701-1000 m),2007,1942.9,0.09604364873504201
WGOA (701-1000 m),2009,719.4,0.548801506063759
WGOA (701-1000 m),2011,NA,NA
WGOA (701-1000 m),2013,NA,NA
WGOA (701-1000 m),2015,1147.2,0.9860650647705569
WGOA (701-1000 m),2017,NA,NA
WGOA (701-1000 m),2019,NA,NA
WGOA (701-1000 m),2021,NA,NA
