Year,Summary_Area,NMFS_Reporting_Area,Species Code,Common Name,Scientific Name,Haul_Count,Catch_Count,Mean Weight CPUE,Var Weight CPUE,Mean Number CPUE,Var Number CPUE,Area_Biomass,Area_Biomass_Var,Min Area Biomass,Max Area Biomass,Area Population,Area Population Var,Min Area Population,Max Area Population
1993,929,Chirikof,30020,shortspine thornyhead,Sebastolobus alascanus,172,14,98,783.802753,399.578838,"20,459.58","6,204.80","3,114,311.86","2,031.00","10,378.00","25,187,485.00","81,292,794,618,639.70","3,864,050.00","46,510,920.00"
1993,939,Kodiak,30020,shortspine thornyhead,Sebastolobus alascanus,240,45,65,115.901358,312.469013,"2,441.40","6,303.80","1,073,709.57","4,182.00","8,426.00","30,075,036.00","22,617,096,584,395.20","20,335,273.00","39,814,799.00"
1993,949,Yakutat,30020,shortspine thornyhead,Sebastolobus alascanus,124,70,165,307.010834,822.243285,"7,961.85","8,862.40","889,974.93","6,900.00","10,825.00","44,269,740.00","23,080,126,979,841.70","34,277,050.00","54,262,430.00"
1993,959,Southeastern,30020,shortspine thornyhead,Sebastolobus alascanus,68,47,412,"4,553.07","2,123.06","36,593.84","7,937.50","1,687,817.13","5,208.00","10,667.00","40,876,451.00","13,565,285,968,456.10","33,138,241.00","48,614,661.00"
1996,919,Shumagin,30020,shortspine thornyhead,Sebastolobus alascanus,200,42,131,385.355718,575.742709,"7,529.58","8,043.00","1,447,334.87","5,612.00","10,474.00","35,284,420.00","28,279,905,416,492.90","24,536,974.00","46,031,866.00"
1996,929,Chirikof,30020,shortspine thornyhead,Sebastolobus alascanus,183,27,106,303.229823,478.687264,"6,829.32","6,658.30","1,204,834.04","4,319.00","8,997.00","30,174,202.00","27,135,165,254,210.90","19,073,519.00","41,274,885.00"
1996,939,Kodiak,30020,shortspine thornyhead,Sebastolobus alascanus,210,46,129,277.748194,541.063818,"4,278.19","12,372.00","2,573,057.81","9,096.00","15,648.00","52,076,865.00","39,633,124,958,925.70","39,221,486.00","64,932,244.00"
1996,949,Yakutat,30020,shortspine thornyhead,Sebastolobus alascanus,116,61,270,"1,657.25","1,389.17","31,560.45","14,531.00","4,804,097.05","9,830.00","19,232.00","74,794,736.00","91,488,666,556,144.80","54,277,874.00","95,311,598.00"
1996,959,Southeastern,30020,shortspine thornyhead,Sebastolobus alascanus,98,45,402,"3,697.42","2,077.03","91,955.97","10,379.50","2,461,121.71","7,014.00","13,745.00","53,587,027.00","61,208,911,662,589.90","36,805,378.00","70,368,676.00"
1999,919,Shumagin,30020,shortspine thornyhead,Sebastolobus alascanus,147,29,216,782.566196,791.26242,"11,404.33","14,096.90","3,329,551.68","10,208.00","17,985.00","51,612,785.00","48,521,540,236,127.40","36,768,792.00","66,456,778.00"
1999,929,Chirikof,30020,shortspine thornyhead,Sebastolobus alascanus,168,34,203,571.87268,601.052103,"3,285.63","13,830.10","2,648,475.78","10,507.00","17,153.00","40,903,408.00","15,216,519,262,485.40","32,937,901.00","48,868,915.00"
1999,939,Kodiak,30020,shortspine thornyhead,Sebastolobus alascanus,246,65,185,221.801735,771.89106,"3,375.45","18,759.40","2,284,532.23","15,705.00","21,814.00","78,338,963.00","34,766,750,287,485.90","66,422,473.00","90,255,453.00"
1999,949,Yakutat,30020,shortspine thornyhead,Sebastolobus alascanus,134,63,297,"1,318.77","1,383.47","26,438.89","17,014.50","4,314,431.85","12,817.00","21,212.00","79,131,909.00","86,496,361,328,634.30","60,335,918.00","97,927,900.00"
1999,959,Southeastern,30020,shortspine thornyhead,Sebastolobus alascanus,69,45,486,"4,402.85","2,451.73","167,653.09","13,634.70","3,461,623.27","9,835.00","17,434.00","68,745,597.00","131,812,684,473,027.00","45,301,455.00","92,189,739.00"
2001,919,Shumagin,30020,shortspine thornyhead,Sebastolobus alascanus,139,14,143,594.693801,631.611764,"13,804.28","8,752.80","2,233,575.47","5,547.00","11,959.00","38,708,031.00","51,846,678,503,867.50","23,263,036.00","54,153,026.00"
2001,929,Chirikof,30020,shortspine thornyhead,Sebastolobus alascanus,140,19,81,163.649071,303.446138,"2,045.19","5,132.70","650,232.78","3,414.00","6,851.00","19,127,054.00","8,126,220,595,040.75","13,052,313.00","25,201,795.00"
2001,939,Kodiak,30020,shortspine thornyhead,Sebastolobus alascanus,210,38,154,214.135872,647.805176,"3,790.76","14,775.70","1,983,753.59","11,929.00","17,622.00","62,351,559.00","35,117,616,417,356.80","50,375,089.00","74,328,029.00"
2003,919,Shumagin,30020,shortspine thornyhead,Sebastolobus alascanus,230,33,331,"2,486.92","1,235.64","42,888.53","20,921.90","9,961,810.91","14,357.00","27,487.00","78,204,670.00","171,798,137,936,447.00","50,941,738.00","105,467,602.00"
2003,929,Chirikof,30020,shortspine thornyhead,Sebastolobus alascanus,172,31,348,"10,004.53",960.789337,"54,979.51","22,590.70","42,253,036.38","8,550.00","36,631.00","62,440,258.00","232,199,916,214,392.00","29,525,946.00","95,354,570.00"
2003,939,Kodiak,30020,shortspine thornyhead,Sebastolobus alascanus,248,47,313,"1,334.48","1,194.00","19,749.74","30,659.20","12,814,862.40","23,070.00","38,248.00","117,005,910.00","189,655,177,457,184.00","87,810,256.00","146,201,564.00"
2003,949,Yakutat,30020,shortspine thornyhead,Sebastolobus alascanus,79,33,306,887.216217,"1,396.69","22,430.43","16,900.50","2,714,180.36","13,424.00","20,377.00","77,251,797.00","68,619,396,381,866.50","59,773,227.00","94,730,367.00"
2003,959,Southeastern,30020,shortspine thornyhead,Sebastolobus alascanus,80,36,391,"2,472.97","1,617.29","43,543.13","10,503.60","1,780,602.12","7,348.00","13,659.00","43,396,823.00","31,352,236,459,559.40","30,154,462.00","56,639,184.00"
2005,919,Shumagin,30020,shortspine thornyhead,Sebastolobus alascanus,180,33,337,"1,158.81","1,409.26","28,840.62","22,005.30","4,930,349.01","17,471.00","26,539.00","91,922,655.00","122,707,000,859,768.00","69,302,769.00","114,542,541.00"
2005,929,Chirikof,30020,shortspine thornyhead,Sebastolobus alascanus,177,36,234,819.068571,733.053482,"4,690.50","15,919.40","3,793,297.61","11,428.00","20,411.00","49,886,963.00","21,722,802,141,665.70","39,139,221.00","60,634,705.00"
2005,939,Kodiak,30020,shortspine thornyhead,Sebastolobus alascanus,293,59,261,294.959881,"1,063.00","5,954.66","26,499.20","3,038,052.67","22,940.00","30,058.00","107,882,328.00","61,332,280,072,617.50","91,890,420.00","123,874,236.00"
2005,949,Yakutat,30020,shortspine thornyhead,Sebastolobus alascanus,92,48,336,711.402191,"1,439.17","15,302.99","19,190.40","2,327,393.45","16,075.00","22,306.00","82,317,325.00","50,064,617,420,279.80","67,868,877.00","96,765,773.00"
2005,959,Southeastern,30020,shortspine thornyhead,Sebastolobus alascanus,95,51,394,"1,303.13","1,752.60","39,695.48","11,054.00","1,024,551.09","8,987.00","13,121.00","49,142,247.00","31,209,490,681,225.30","37,734,521.00","60,549,973.00"
2007,919,Shumagin,30020,shortspine thornyhead,Sebastolobus alascanus,205,32,186,308.065572,746.423598,"5,053.82","12,152.20","1,310,713.71","9,771.00","14,534.00","48,687,740.00","21,502,281,889,394.80","39,042,665.00","58,332,815.00"
2007,929,Chirikof,30020,shortspine thornyhead,Sebastolobus alascanus,199,36,195,690.23891,564.079102,"3,810.58","13,274.30","3,196,657.40","9,613.00","16,936.00","38,386,818.00","17,647,672,785,942.90","29,783,348.00","46,990,288.00"
2007,939,Kodiak,30020,shortspine thornyhead,Sebastolobus alascanus,271,59,240,400.148294,956.809393,"7,717.54","24,332.30","4,121,481.16","20,181.00","28,484.00","97,104,506.00","79,489,819,741,725.60","78,871,887.00","115,337,125.00"
2007,949,Yakutat,30020,shortspine thornyhead,Sebastolobus alascanus,76,48,394,"2,236.36","1,653.82","49,913.44","22,522.90","7,316,373.73","17,000.00","28,046.00","94,593,387.00","163,294,695,804,419.00","68,499,320.00","120,687,454.00"
2007,959,Southeastern,30020,shortspine thornyhead,Sebastolobus alascanus,65,35,442,"2,930.44","1,782.56","47,628.38","12,394.60","2,303,980.87","9,254.00","15,535.00","49,982,328.00","37,446,516,714,239.50","37,321,381.00","62,643,275.00"
2009,919,Shumagin,30020,shortspine thornyhead,Sebastolobus alascanus,196,29,288,"1,971.61","1,172.45","34,531.85","18,789.00","8,388,518.79","12,704.00","24,874.00","76,476,689.00","146,921,232,413,295.00","51,010,243.00","101,943,135.00"
2009,929,Chirikof,30020,shortspine thornyhead,Sebastolobus alascanus,190,34,113,337.353326,342.517593,"1,579.07","7,664.80","1,562,361.95","5,090.00","10,240.00","23,309,575.00","7,313,029,096,487.53","17,738,797.00","28,880,353.00"
2009,939,Kodiak,30020,shortspine thornyhead,Sebastolobus alascanus,280,62,206,433.647327,812.21468,"7,385.54","20,891.10","4,466,517.33","16,326.00","25,456.00","82,431,064.00","76,070,212,264,230.00","63,591,924.00","101,270,204.00"
2009,949,Yakutat,30020,shortspine thornyhead,Sebastolobus alascanus,83,49,296,316.77521,"1,152.29","8,309.26","16,919.90","1,036,348.44","14,819.00","19,021.00","65,908,501.00","27,184,228,054,020.70","55,147,115.00","76,669,887.00"
2009,959,Southeastern,30020,shortspine thornyhead,Sebastolobus alascanus,74,44,518,"2,058.11","2,220.09","64,236.03","14,530.60","1,618,129.66","11,653.00","17,408.00","62,250,256.00","50,503,831,075,875.00","46,175,116.00","78,325,396.00"
2011,919,Shumagin,30020,shortspine thornyhead,Sebastolobus alascanus,163,29,92,651.837435,346.206074,"11,681.90","5,817.60","2,611,058.73","1,332.00","10,303.00","21,911,893.00","46,794,071,480,297.50","2,922,334.00","40,901,452.00"
2011,929,Chirikof,30020,shortspine thornyhead,Sebastolobus alascanus,155,24,189,774.156109,616.477471,"5,740.26","12,292.90","3,269,563.25","8,601.00","15,985.00","40,064,210.00","24,243,336,977,089.80","30,009,908.00","50,118,512.00"
2011,939,Kodiak,30020,shortspine thornyhead,Sebastolobus alascanus,228,41,161,301.763811,677.439334,"5,240.21","15,763.90","2,897,813.34","12,288.00","19,240.00","66,385,238.00","50,321,354,016,771.10","51,899,791.00","80,870,685.00"
2011,949,Yakutat,30020,shortspine thornyhead,Sebastolobus alascanus,68,37,283,"1,503.70","1,172.67","26,919.17","15,627.20","4,600,125.25","11,138.00","20,116.00","64,860,986.00","82,351,387,802,492.90","45,867,500.00","83,854,472.00"
2011,959,Southeastern,30020,shortspine thornyhead,Sebastolobus alascanus,56,31,510,"2,906.12","2,352.34","43,392.53","13,678.10","2,092,484.63","10,724.00","16,632.00","63,121,406.00","31,243,795,855,265.70","51,707,412.00","74,535,400.00"
2013,919,Shumagin,30020,shortspine thornyhead,Sebastolobus alascanus,136,21,146,445.611666,518.101509,"5,857.35","9,214.70","1,784,982.21","6,418.00","12,011.00","32,791,237.00","23,462,745,616,047.90","22,653,089.00","42,929,385.00"
2013,929,Chirikof,30020,shortspine thornyhead,Sebastolobus alascanus,126,17,162,"1,109.16",503.915331,"7,462.10","10,531.00","4,684,433.77","4,966.00","16,096.00","32,748,785.00","31,515,379,573,173.40","18,315,561.00","47,182,009.00"
2013,939,Kodiak,30020,shortspine thornyhead,Sebastolobus alascanus,187,32,220,884.286413,969.519652,"15,027.43","21,532.80","8,491,730.53","15,454.00","27,612.00","95,008,564.00","144,307,227,090,180.00","69,949,875.00","120,067,253.00"
2013,949,Yakutat,30020,shortspine thornyhead,Sebastolobus alascanus,61,32,279,"1,888.70","1,104.42","20,741.67","15,418.50","5,777,917.40","10,262.00","20,575.00","61,085,803.00","63,453,114,418,133.40","43,999,277.00","78,172,329.00"
2013,959,Southeastern,30020,shortspine thornyhead,Sebastolobus alascanus,38,21,491,"3,375.51","2,766.25","175,501.04","13,181.00","2,430,457.68","9,837.00","16,525.00","74,227,414.00","126,365,504,268,308.00","50,114,952.00","98,339,876.00"
2015,919,Shumagin,30020,shortspine thornyhead,Sebastolobus alascanus,189,38,207,949.69913,795.371813,"18,481.31","13,532.60","4,040,645.19","8,986.00","18,080.00","51,880,098.00","78,631,642,332,194.30","31,821,930.00","71,938,266.00"
2015,929,Chirikof,30020,shortspine thornyhead,Sebastolobus alascanus,179,39,256,"3,034.31",686.025591,"15,817.01","17,437.80","14,052,576.84","9,269.00","25,606.00","46,685,628.00","73,252,263,136,619.30","28,036,104.00","65,335,152.00"
2015,939,Kodiak,30020,shortspine thornyhead,Sebastolobus alascanus,255,54,271,369.247512,952.939147,"5,688.68","27,468.20","3,803,206.68","23,527.00","31,410.00","96,712,505.00","58,592,758,428,277.70","81,242,577.00","112,182,433.00"
2015,949,Yakutat,30020,shortspine thornyhead,Sebastolobus alascanus,80,40,317,"1,439.99","1,139.11","15,983.28","18,152.80","4,711,000.86","13,148.00","23,158.00","65,154,960.00","52,290,239,050,132.90","48,479,815.00","81,830,105.00"
2015,959,Southeastern,30020,shortspine thornyhead,Sebastolobus alascanus,68,34,451,"4,752.71","2,063.55","145,789.14","12,650.00","3,736,691.07","8,395.00","16,905.00","57,861,233.00","114,622,750,793,436.00","34,296,883.00","81,425,583.00"
2017,919,Shumagin,30020,shortspine thornyhead,Sebastolobus alascanus,125,20,236,"1,780.89",917.401288,"29,233.48","14,935.50","7,133,684.34","9,206.00","20,665.00","58,063,676.00","117,100,252,968,435.00","34,852,015.00","81,275,337.00"
2017,929,Chirikof,30020,shortspine thornyhead,Sebastolobus alascanus,118,24,203,"1,183.83",607.871227,"10,636.14","13,190.00","4,999,791.34","8,318.00","18,062.00","39,503,914.00","44,920,571,650,416.20","24,899,644.00","54,108,184.00"
2017,939,Kodiak,30020,shortspine thornyhead,Sebastolobus alascanus,178,48,207,574.092816,807.287314,"5,076.68","20,245.60","5,512,966.64","15,362.00","25,129.00","79,110,662.00","48,750,943,794,798.00","64,587,712.00","93,633,612.00"
2017,949,Yakutat,30020,shortspine thornyhead,Sebastolobus alascanus,70,41,294,"1,152.33","1,100.97","16,389.12","16,244.70","3,525,207.01","12,189.00","20,300.00","60,894,437.00","50,137,767,428,775.70","45,599,903.00","76,188,971.00"
2017,959,Southeastern,30020,shortspine thornyhead,Sebastolobus alascanus,45,25,592,"14,444.43","2,076.43","222,688.04","15,876.30","10,400,379.62","8,778.00","22,974.00","55,718,079.00","160,341,427,453,912.00","27,847,697.00","83,588,461.00"
2019,919,Shumagin,30020,shortspine thornyhead,Sebastolobus alascanus,123,24,297,"4,211.42",957.225167,"27,935.66","18,776.70","16,869,640.70","5,707.00","31,846.00","60,583,254.00","111,901,577,711,375.00","26,922,931.00","94,243,577.00"
2019,929,Chirikof,30020,shortspine thornyhead,Sebastolobus alascanus,121,28,150,668.189555,459.706117,"6,015.93","9,736.10","2,822,025.15","6,252.00","13,220.00","29,874,322.00","25,407,613,736,386.90","19,420,125.00","40,328,519.00"
2019,939,Kodiak,30020,shortspine thornyhead,Sebastolobus alascanus,176,27,244,727.097694,928.35675,"6,365.86","23,876.60","6,982,260.05","18,380.00","29,373.00","90,973,780.00","61,130,844,205,684.40","74,711,047.00","107,236,513.00"
2019,949,Yakutat,30020,shortspine thornyhead,Sebastolobus alascanus,69,41,319,"2,724.74","1,197.77","34,515.44","17,655.60","8,335,536.66","11,535.00","23,776.00","66,249,008.00","105,589,977,601,981.00","44,464,527.00","88,033,489.00"
2019,959,Southeastern,30020,shortspine thornyhead,Sebastolobus alascanus,52,25,314,"2,167.97","1,289.18","38,061.85","8,424.80","1,560,996.17","5,745.00","11,105.00","34,592,797.00","27,405,566,885,444.70","23,363,652.00","45,821,942.00"
2021,919,Shumagin,30020,shortspine thornyhead,Sebastolobus alascanus,114,22,232,"3,875.76",759.531561,"25,211.63","14,692.60","15,525,109.07","4,562.00","24,823.00","48,070,418.00","100,989,991,710,639.00","22,233,468.00","73,907,368.00"
2021,929,Chirikof,30020,shortspine thornyhead,Sebastolobus alascanus,115,25,187,"1,210.81",633.094879,"11,976.54","12,143.10","5,113,709.50","7,166.00","17,120.00","41,143,556.00","50,581,580,993,134.30","25,489,884.00","56,797,228.00"
2021,939,Kodiak,30020,shortspine thornyhead,Sebastolobus alascanus,177,36,172,608.810095,641.760104,"6,153.15","16,842.20","5,846,353.84","11,762.00","21,922.00","62,887,935.00","59,088,193,918,486.60","46,737,791.00","79,038,079.00"
2021,949,Yakutat,30020,shortspine thornyhead,Sebastolobus alascanus,70,37,254,920.627401,"1,066.16","19,597.19","14,041.70","2,816,392.18","10,348.00","17,735.00","58,969,497.00","59,951,920,687,241.50","41,927,456.00","76,011,538.00"
2021,959,Southeastern,30020,shortspine thornyhead,Sebastolobus alascanus,53,24,391,"3,469.74","1,796.77","58,027.85","10,504.60","2,498,304.68","6,766.00","14,243.00","48,212,928.00","41,781,623,441,383.60","32,925,874.00","63,499,982.00"
