SURVEY,YEAR,SUMMARY_AREA_DEPTH,SPECIES_CODE,BIOMASS,VAR,HAUL_COUNT,CATCH_COUNT
GOA,1990,931,30020,0,0,51,0
GOA,2019,933,30020,10723,2964175.31321039,18,14
GOA,2019,921,30020,0,0,45,0
GOA,2019,931,30020,0,0,64,0
GOA,2003,934,30020,5652.3,990117.486794516,9,9
GOA,1990,912,30020,5.3,27.7399551684952,45,1
GOA,2019,942,30020,3443.1,1955798.119187,29,14
GOA,2003,945,30020,3162.5,57690.929686882,3,3
GOA,1990,913,30020,676.3,229430.149991295,8,6
GOA,2019,935,30020,3561,NA,1,1
GOA,2003,931,30020,19.5,379.901765818523,106,1
GOA,2003,951,30020,0,0,13,0
GOA,1990,953,30020,2793.6,278099.222350935,27,25
GOA,1990,914,30020,997.7,223218.035781655,7,5
GOA,1990,911,30020,0,0,75,0
GOA,1990,941,30020,0,0,16,0
GOA,2019,911,30020,43.5,1889.81994084331,74,1
GOA,2019,941,30020,2192.3,4722686.835694,15,2
GOA,2019,952,30020,264.4,38032.7438829775,22,3
GOA,2019,923,30020,2405.7,783958.622734095,16,11
GOA,2019,932,30020,1686.4,571110.279312895,88,7
GOA,2003,915,30020,5886.6,2920807.91997849,4,4
GOA,2003,925,30020,6185.2,12983105.0351937,3,3
GOA,2003,913,30020,6016.7,3785156.1562848,10,10
GOA,2019,912,30020,1555,731263.56957201,29,6
GOA,1990,952,30020,1472.8,399459.616537007,23,13
GOA,2017,945,30020,3427.7,415893.404281058,2,2
GOA,1987,911,30020,0,0,105,0
GOA,1990,923,30020,561.3,162648.164811627,17,2
GOA,2017,932,30020,3185.3,2076881.00171887,90,20
GOA,2003,923,30020,5821.3,2003632.13042208,25,15
GOA,1990,944,30020,1463.5,45405.1194411018,25,25
GOA,2019,913,30020,2889.1,1148355.48295943,14,11
GOA,2019,922,30020,1161.8,554708.971540192,53,10
GOA,2019,955,30020,2086.2,413180.532347035,2,2
GOA,1990,942,30020,1350.5,365887.512304855,57,12
GOA,1993,942,30020,1547.3,233062.854542809,61,23
GOA,2017,951,30020,0,0,7,0
GOA,2017,922,30020,198.7,10548.9968543992,54,6
GOA,1990,943,30020,1340.9,79351.2387564651,36,33
GOA,1996,912,30020,313.4,33643.3302344865,60,6
GOA,2017,933,30020,9714.3,2851530.35106145,20,18
GOA,1993,921,30020,1.6,2.44829877327532,54,1
GOA,1996,933,30020,7321,1924420.60172624,31,25
GOA,2017,925,30020,2836,570156.989586856,3,3
GOA,2017,955,30020,873.1,2871.83998055521,2,2
GOA,1993,952,30020,227.5,15260.3190105243,24,4
GOA,1990,954,30020,3575.1,425005.600914762,18,18
GOA,1993,913,30020,490.4,38563.0596753521,8,6
GOA,1996,922,30020,54.1,1708.81319483,68,4
GOA,1987,924,30020,3172.7,879626.078794171,5,5
GOA,2019,953,30020,1768.1,245220.138823754,13,11
GOA,2019,943,30020,5370.2,1437841.76222464,16,16
GOA,2019,951,30020,4.3,18.4105621823526,7,1
GOA,1993,931,30020,0,0,68,0
GOA,2019,954,30020,4301.8,864544.341393684,8,8
GOA,2019,944,30020,4909,178753.312221937,7,7
GOA,1990,921,30020,0,0,26,0
GOA,1993,953,30020,2257.7,133203.119461625,30,29
GOA,2019,934,30020,7906.2,3446974.45352688,5,5
GOA,2019,914,30020,6297.4,246204.05775076,4,4
GOA,2019,925,30020,2453.6,1011351.39073372,3,3
GOA,1993,943,30020,3211.4,135508.150319827,29,29
GOA,1993,914,30020,3215.5,638153.831112213,6,6
GOA,2019,924,30020,3715,472006.168424712,4,4
GOA,2019,915,30020,7991.7,14741927.7678955,2,2
GOA,2019,945,30020,1741,40456.6299174921,2,2
GOA,1993,911,30020,0,0,103,0
GOA,1990,932,30020,107.6,5274.64877078268,130,4
GOA,1990,933,30020,2181.2,617781.982822331,28,18
GOA,1999,912,30020,37.4,342.167620414942,31,4
GOA,1990,924,30020,1508.8,933810.416013378,4,4
GOA,1993,934,30020,2296.9,271694.638865702,10,10
GOA,1993,923,30020,3356.5,2792013.66685815,31,6
GOA,1993,933,30020,3640.9,774449.532675867,28,22
GOA,1990,922,30020,0,0,109,0
GOA,1999,942,30020,2816.3,902826.019376105,63,26
GOA,1993,924,30020,2844,322288.218244655,6,6
GOA,1996,932,30020,254.8,17429.087754571,109,10
GOA,1996,944,30020,3850.1,13707.3273149287,6,6
GOA,1996,924,30020,3469.3,229516.766858621,13,13
GOA,1993,954,30020,5452.3,1539353.69131431,14,14
GOA,1996,934,30020,4796.2,631208.119004653,11,11
GOA,1999,953,30020,4476.8,1490422.52678894,16,16
GOA,1993,944,30020,4103.7,521403.929697485,18,18
GOA,1999,954,30020,7007.6,1540645.74021197,14,14
GOA,1999,915,30020,5389.3,675719.487540554,5,5
GOA,1993,922,30020,2.7,7.52880397943667,81,1
GOA,1996,952,30020,471.4,47429.4868433599,50,11
GOA,1990,934,30020,1581.8,484624.021324174,6,5
GOA,1996,921,30020,0,0,70,0
GOA,1999,916,30020,1679,NA,1,1
GOA,1996,931,30020,0,0,59,0
GOA,1996,941,30020,0,0,33,0
GOA,1999,945,30020,1794.8,167520.2519009,4,4
GOA,1996,923,30020,3134.9,973608.455209937,32,10
GOA,1999,933,30020,7682.8,1138159.38714577,36,25
GOA,1996,914,30020,4614.8,742597.968521428,16,16
GOA,1993,932,30020,366,27565.3954172056,134,13
GOA,1999,936,30020,1598.8,106923.52313667,10,10
GOA,1993,941,30020,0,0,16,0
GOA,1996,951,30020,0,0,8,0
GOA,1999,925,30020,4072.8,743984.898890191,6,6
GOA,1999,943,30020,6088.4,2506148.05338036,14,14
GOA,1996,954,30020,6659.8,1798245.66586267,12,12
GOA,1993,912,30020,0,0,53,0
GOA,1999,921,30020,0,0,59,0
GOA,1999,941,30020,110.7,3590.24637208485,38,4
GOA,1996,943,30020,5149.5,466082.591567484,27,26
GOA,1999,914,30020,4739.2,724772.93035089,12,12
GOA,1996,913,30020,3114.8,671093.575065684,22,20
GOA,1996,911,30020,0,0,102,0
GOA,2015,936,30020,5511.5,330021.204464331,4,4
GOA,1996,942,30020,5531.4,4324307.13445032,50,29
GOA,2015,953,30020,3262.2,579823.485841293,18,14
GOA,1999,924,30020,5386.2,1255431.50263263,8,8
GOA,2007,955,30020,756.6,24367.103923592,2,2
GOA,2015,923,30020,6581.7,8223268.46092719,21,17
GOA,1999,922,30020,118,6806.72140449961,52,3
GOA,2009,954,30020,6565.5,440294.216371261,14,14
GOA,2015,914,30020,4745.6,684340.245715544,6,6
GOA,2015,943,30020,4695.6,607702.695472804,18,18
GOA,1999,955,30020,1043.1,201864.379306694,3,3
GOA,2007,943,30020,6750.6,4327389.30753682,17,16
GOA,2015,916,30020,1147.2,1279644.75702195,2,2
GOA,1996,953,30020,3248.3,615446.557348993,28,22
GOA,1999,956,30020,204.5,17484.4582211495,2,2
GOA,2015,944,30020,5012.4,452819.226483516,9,9
GOA,2007,932,30020,867.4,203668.469298657,127,12
GOA,1999,952,30020,902.7,211206.165194644,24,10
GOA,2007,945,30020,4101.1,948274.265147263,3,3
GOA,2015,942,30020,3394.8,3164671.78968833,31,10
GOA,2015,945,30020,1717,485807.148362288,2,2
GOA,2007,913,30020,2910.1,393437.619096685,17,14
GOA,2015,946,30020,3333,NA,1,1
GOA,2015,956,30020,352.5,385.635499872287,2,2
GOA,2015,952,30020,559.9,190348.507962348,27,6
GOA,2009,951,30020,6.3,39.0801118715798,11,1
GOA,2009,912,30020,84,5536.52257079464,40,2
GOA,2007,924,30020,3756.9,173054.781730154,10,10
GOA,2003,912,30020,499.7,83811.9098821833,46,10
GOA,2015,935,30020,2118.9,43791.8923629299,3,3
GOA,2015,913,30020,4578.2,1776530.88983017,21,15
GOA,2007,944,30020,4994.1,455800.90775172,9,9
GOA,2015,926,30020,1702.6,97017.2945359505,3,3
GOA,2009,922,30020,63.4,890.348329363926,72,6
GOA,2007,953,30020,3479.2,772776.392728801,17,14
GOA,1999,913,30020,2248.1,1928701.53222113,8,6
GOA,2009,952,30020,409.8,15342.7239636987,26,7
GOA,2007,931,30020,130.5,17034.3864410857,94,1
GOA,2015,921,30020,0,0,59,0
GOA,2007,922,30020,597.2,354624.552423573,69,3
GOA,2007,942,30020,2884.6,970217.08402206,33,15
GOA,2007,923,30020,1040.2,169394.54594427,26,11
GOA,2007,921,30020,0,0,82,0
GOA,2007,954,30020,7242.8,1412348.45140215,11,11
GOA,2007,915,30020,2589.9,141151.350830524,5,5
GOA,2007,925,30020,4926.8,2182321.68338521,7,7
GOA,2007,926,30020,2953.2,317261.837301597,5,5
GOA,2007,914,30020,4702.2,741279.748180801,9,9
GOA,2007,934,30020,7367.5,1536680.86784237,10,10
GOA,2001,932,30020,1636.2,547971.574824601,91,9
GOA,1999,934,30020,6252.2,826642.773193095,14,14
GOA,2009,924,30020,2594.5,258378.012185501,7,7
GOA,2007,936,30020,4782.3,935778.848393639,4,4
GOA,2011,933,30020,6607.9,1564887.16030923,24,18
GOA,2007,911,30020,0,0,133,0
GOA,2007,912,30020,7.1,24.2373508560068,39,2
GOA,2001,921,30020,11.2,124.578604569645,56,1
GOA,2011,954,30020,7194.4,565407.980659084,8,8
GOA,2007,946,30020,3711.3,610706.955663739,3,3
GOA,2007,951,30020,0,0,11,0
GOA,2007,916,30020,1942.9,34820.7561637861,2,2
GOA,2007,952,30020,386,51957.9318171576,22,6
GOA,2011,931,30020,0,0,87,0
GOA,2011,941,30020,0,0,14,0
GOA,2007,956,30020,530,42530.9870849463,2,2
GOA,2009,926,30020,474,22243.2010942328,3,3
GOA,2009,921,30020,0,0,78,0
GOA,1999,946,30020,1717.2,419740.048584442,3,3
GOA,2001,923,30020,1950.3,214433.074106935,22,10
GOA,2001,933,30020,7687.4,962133.858991534,21,20
GOA,2001,914,30020,4771.4,1125967.41269993,6,6
GOA,2007,941,30020,81.2,3985.20614143235,11,2
GOA,2007,935,30020,4034.8,296424.835444041,6,6
GOA,2001,931,30020,34.9,800.808492289875,91,2
GOA,2011,912,30020,202.2,22072.8832434284,37,7
GOA,2011,922,30020,620.6,248241.911650499,56,3
GOA,2007,933,30020,7149.8,1131893.75472359,30,26
GOA,2001,911,30020,0,0,94,0
GOA,2001,934,30020,5417.2,472847.350333898,7,7
GOA,2009,941,30020,66.5,4417.84079104322,19,1
GOA,2005,932,30020,2314,458237.084941665,139,20
GOA,2009,925,30020,2493.6,852683.547798859,5,5
GOA,2009,932,30020,496,84031.9565362841,125,12
GOA,2013,942,30020,2213.3,1418286.04782203,27,10
GOA,2017,943,30020,4050.3,662956.280941029,17,15
GOA,2005,933,30020,10026.1,1584223.5259765,29,22
GOA,2009,916,30020,719.4,155873.201674701,2,2
GOA,2009,953,30020,3647.5,473272.681554386,19,18
GOA,2009,943,30020,3872.2,248017.788463163,17,17
GOA,2005,943,30020,5791.8,813429.23863739,21,20
GOA,2009,944,30020,3293.2,189278.921271347,8,8
GOA,2013,954,30020,5739.9,1677006.3059931,7,7
GOA,2013,951,30020,0,0,7,0
GOA,2009,934,30020,4675.5,685866.413308534,16,16
GOA,2013,923,30020,2271.8,499375.783345555,14,7
GOA,2009,915,30020,5605.4,1549993.20693987,3,3
GOA,2009,935,30020,2871,609474.65926372,4,4
GOA,2013,912,30020,61.9,2325.22883136912,29,2
GOA,2013,922,30020,87.9,6266.66485603906,50,2
GOA,2005,914,30020,5630.3,1942442.09012832,9,9
GOA,2013,924,30020,3169.7,514675.917080167,5,5
GOA,2013,952,30020,939.7,382609.028494963,13,4
GOA,2013,931,30020,0,0,73,0
GOA,2017,914,30020,6229.5,1292434.75819761,4,4
GOA,2009,914,30020,5286.3,2621320.71693522,7,7
GOA,2017,921,30020,0,0,41,0
GOA,2005,921,30020,0,0,71,0
GOA,2009,946,30020,4347,NA,1,1
GOA,2009,956,30020,473.7,8115.78051692856,2,2
GOA,2009,931,30020,12.6,158.274821978055,100,1
GOA,2009,945,30020,3392.6,213528.684618709,2,2
GOA,2009,955,30020,3427.8,681065.181668343,2,2
GOA,2005,922,30020,686.2,99495.4715907415,62,5
GOA,2017,954,30020,10378.2,4368354.99959755,8,8
GOA,2017,915,30020,2739.6,1123987.61321584,2,2
GOA,2017,935,30020,2008.5,123693.944027253,2,2
GOA,2013,925,30020,5001.6,3664115.40027062,3,3
GOA,2013,935,30020,3193.9,959248.542331743,2,2
GOA,2009,936,30020,2995.2,1548087.48723188,4,4
GOA,2013,944,30020,3491.3,232994.523957519,7,7
GOA,2017,934,30020,5251.7,457631.602097505,5,5
GOA,2013,932,30020,5774.5,3164756.17827367,89,11
GOA,2013,915,30020,2738.6,53651.271893307,3,3
GOA,2005,925,30020,2448,466195.425818147,6,6
GOA,2017,911,30020,16.9,285.761306109201,74,1
GOA,2005,953,30020,3365.3,333683.210606438,30,27
GOA,2009,913,30020,7093.9,4055795.13689127,17,15
GOA,1984,911,30020,0,0,100,0
GOA,1984,913,30020,5167.3,1332338.11614844,23,20
GOA,1987,914,30020,6086.6,12917594.4643497,5,5
GOA,1984,932,30020,478.6,137213.132884789,132,10
GOA,1984,942,30020,243.5,16343.1098244951,55,8
GOA,1984,953,30020,1031.1,30778.3968369672,39,32
GOA,1987,951,30020,0,NA,1,0
GOA,1987,912,30020,124.3,5192.50539942983,55,8
GOA,1987,944,30020,3925.5,541891.672650936,11,11
GOA,1987,954,30020,4575.9,576200.26226928,10,10
GOA,1987,915,30020,2317.4,1434501.55161903,3,3
GOA,1984,915,30020,3053.2,505099.191346668,14,14
GOA,1984,925,30020,2193.4,118825.426761316,9,9
GOA,1987,955,30020,1927.1,921044.494354304,2,2
GOA,1987,926,30020,2807.8,1769710.78561525,4,4
GOA,1984,922,30020,952.1,788444.073586333,85,6
GOA,1987,922,30020,44.8,426.289673457143,120,5
GOA,1984,945,30020,727.1,56261.7914718376,3,3
GOA,1984,923,30020,4893.6,2747067.61224374,43,13
GOA,1984,944,30020,2386.9,506113.813770918,11,10
GOA,1987,932,30020,253.4,9934.21589311454,148,15
GOA,1987,935,30020,990.5,70877.0614437283,6,6
GOA,1987,913,30020,3084.9,1380753.6795371,7,6
GOA,1984,943,30020,1349,269951.269753187,33,23
GOA,1984,952,30020,242.4,13221.8788802514,37,9
GOA,1984,926,30020,3305.4,874070.235729735,6,6
GOA,1984,931,30020,0,0,73,0
GOA,1984,941,30020,5.4,29.0670502229688,11,1
GOA,1984,954,30020,2074,85532.4789396544,11,11
GOA,1984,936,30020,3691,1067482.5946661,6,6
GOA,1987,921,30020,0,0,54,0
GOA,1987,931,30020,0,0,57,0
GOA,1987,941,30020,0,0,15,0
GOA,1987,953,30020,2790.4,522572.976801405,15,13
GOA,1987,934,30020,2580.3,354999.437178571,8,8
GOA,1984,934,30020,3622.9,360249.126427303,18,18
GOA,1987,923,30020,3306.5,2575824.31343647,17,3
GOA,1984,935,30020,1808.6,290197.913400051,16,16
GOA,1984,955,30020,2912,NA,1,1
GOA,1984,916,30020,2024.1,865748.167743573,5,4
GOA,1987,943,30020,3686,1854228.97129932,20,17
GOA,1987,945,30020,3290.5,2633269.38545297,3,3
GOA,1987,925,30020,3598,785122.097768135,4,4
GOA,1984,924,30020,2727.2,325011.648477254,12,12
GOA,1987,942,30020,337.7,30605.0271841662,63,9
GOA,1987,952,30020,79.8,6366.38496793926,20,1
GOA,1984,946,30020,814,NA,1,1
GOA,1984,921,30020,0,0,44,0
GOA,2017,952,30020,2420.2,5234860.50740581,18,6
GOA,2005,911,30020,62.6,2448.15796454053,117,2
GOA,2005,924,30020,5334.3,625222.267909122,10,10
GOA,2005,944,30020,6079.2,268548.830277066,8,8
GOA,2005,945,30020,3942.9,510971.793741666,4,4
GOA,1984,933,30020,7499.2,1539793.65825245,41,34
GOA,2017,953,30020,2204.8,794292.274766719,10,9
GOA,1984,914,30020,4206.9,616010.00277594,18,18
GOA,2017,924,30020,4345.5,1635702.5292045,4,4
GOA,2017,944,30020,4824.7,189650.28294362,5,5
GOA,1987,936,30020,614,NA,1,1
GOA,2005,912,30020,1107.7,577515.392027899,36,7
GOA,2005,955,30020,1164.7,294053.04928423,4,4
GOA,2005,926,30020,3932.2,2107362.44813854,3,3
GOA,2005,946,30020,2012.9,366339.147936027,2,2
GOA,2005,936,30020,4329.8,549241.521995053,3,3
GOA,2005,916,30020,3277.2,614222.921123008,2,2
GOA,2005,934,30020,5446.1,211342.53766896,8,8
GOA,2017,931,30020,85.8,3229.73868344826,61,3
GOA,2005,952,30020,224.6,15527.3736748681,37,5
GOA,2005,913,30020,5550.2,1530961.5995305,12,9
GOA,1987,933,30020,3186.4,431739.722478682,22,14
GOA,2005,923,30020,3518.7,495022.001170289,25,12
GOA,2005,931,30020,103.4,10688.8700165403,109,1
GOA,2017,912,30020,269.3,62594.390796699,32,3
GOA,2005,941,30020,14,194.871824479621,15,1
GOA,2005,951,30020,0,0,9,0
GOA,2005,915,30020,6377.3,262758.850505821,4,4
GOA,2005,935,30020,4279.8,224319.132210709,5,5
GOA,1987,916,30020,577.1,2687.8898921796,2,2
GOA,2017,941,30020,50.6,1099.99359909336,17,2
GOA,2005,954,30020,5904.3,368507.036168045,13,13
GOA,2017,942,30020,3891.4,2255607.04363626,29,17
GOA,2005,942,30020,1349.6,367909.572160603,42,13
GOA,1984,912,30020,136.5,3283.56315745332,82,10
GOA,2017,913,30020,5680.2,4654381.82142182,13,10
GOA,2017,923,30020,5809.8,2783382.8241352,16,11
GOA,2005,956,30020,395.1,12780.4191021372,2,2
GOA,2013,941,30020,0,0,12,0
GOA,2011,923,30020,2631,795863.556590871,20,10
GOA,1999,951,30020,0,0,10,0
GOA,2015,931,30020,37.3,842.452147713837,85,2
GOA,2015,941,30020,0,0,19,0
GOA,1999,923,30020,2921.9,549003.116492763,35,9
GOA,2015,951,30020,0,0,9,0
GOA,2015,922,30020,894,496609.572435741,86,9
GOA,2015,932,30020,2486.3,815287.400713285,127,13
GOA,1999,932,30020,571.8,60742.4407013065,95,10
GOA,2011,915,30020,2271.7,2276610.49543171,3,3
GOA,1999,935,30020,2652,152060.73004171,5,5
GOA,1999,926,30020,1331.2,93249.5416975086,8,8
GOA,2015,912,30020,328.9,15041.141850237,50,12
GOA,2011,934,30020,2706.1,156719.28340962,6,6
GOA,2011,944,30020,5563.3,2371430.28502544,6,6
GOA,2021,912,30020,25.2,199.913621692394,27,4
GOA,2015,933,30020,12052.9,2243678.38722165,28,24
GOA,2015,934,30020,5261.3,369585.340324542,8,8
GOA,1999,944,30020,4487.1,314607.231464677,12,12
GOA,2015,911,30020,0,0,107,0
GOA,2003,941,30020,0,0,16,0
GOA,2021,952,30020,202.8,14070.1903562607,23,3
GOA,2021,941,30020,18.7,157.588601473114,16,2
GOA,2015,954,30020,5818,1702958.2811368,8,8
GOA,2015,925,30020,2547.5,302290.877556829,4,4
GOA,2021,933,30020,7828.8,3675578.66337437,18,14
GOA,2021,942,30020,2677.2,1471668.44012919,31,13
GOA,2015,955,30020,2657.4,1263175.15612161,4,4
GOA,2021,911,30020,60.8,1630.189758277,70,3
GOA,1999,931,30020,1.8,3.37479111497621,86,1
GOA,2015,924,30020,5712,4933390.63251687,6,6
GOA,1999,911,30020,3.9,15.56166293837,90,1
GOA,2015,915,30020,2732.7,285088.152824265,3,3
GOA,2021,913,30020,2217.8,482293.355293264,11,9
GOA,2021,931,30020,14,55.6943516896714,62,3
GOA,2021,953,30020,3377.9,231087.014024291,13,10
