species_code,year,council_management_area,rpw,rpw_var
30020,2008,Central Gulf of Alaska,27239.0162903049,12581591.2335042
30020,2008,Eastern Gulf of Alaska,25210.8674128558,6813345.40321298
30020,2009,Eastern Gulf of Alaska,18339.4953117765,2140398.05533404
30020,2009,Central Gulf of Alaska,19801.5222219834,14962707.7625708
30020,2009,Western Gulf of Alaska,11289.8352886898,3053341.63355118
30020,2010,Western Gulf of Alaska,14503.8361840017,13521756.722443
30020,2010,Central Gulf of Alaska,24000.0525424036,9991397.32459114
30020,2010,Eastern Gulf of Alaska,26361.1782478078,5674549.19411682
30020,2011,Eastern Gulf of Alaska,21823.2052935836,2608646.37328153
30020,2011,Western Gulf of Alaska,9207.99883521779,3742483.24943534
30020,2011,Central Gulf of Alaska,23041.2051986898,7840087.03335435
30020,2012,Western Gulf of Alaska,6859.81585899137,1324639.70245563
30020,2012,Central Gulf of Alaska,26388.2334724868,6802526.61039909
30020,2012,Eastern Gulf of Alaska,22552.9538924401,4290964.52148123
30020,2013,Western Gulf of Alaska,12085.0207845679,1966621.02683138
30020,2013,Eastern Gulf of Alaska,26493.1613877382,2372906.74194992
30020,2013,Central Gulf of Alaska,31873.0391287402,18237663.5423626
30020,2014,Eastern Gulf of Alaska,21839.1521281848,4131036.54645604
30020,2014,Central Gulf of Alaska,27896.9361640175,35256124.4494284
30020,2014,Western Gulf of Alaska,12419.6007531817,3684554.82978638
30020,2015,Eastern Gulf of Alaska,19669.286465288,2213763.89982568
30020,2015,Central Gulf of Alaska,27129.9543976767,8452288.69251325
30020,2015,Western Gulf of Alaska,12388.9221205072,3867891.76424586
30020,2016,Western Gulf of Alaska,13473.1958452506,5222262.60939164
30020,2016,Eastern Gulf of Alaska,22030.929366923,4193443.16889672
30020,2016,Central Gulf of Alaska,19792.5981801314,2258767.04938676
30020,2017,Western Gulf of Alaska,13428.838033146,5651026.27476299
30020,2017,Central Gulf of Alaska,25866.1840817135,3994313.65377191
30020,2017,Eastern Gulf of Alaska,21605.2043268379,6212641.56668852
30020,2018,Western Gulf of Alaska,13652.2040769114,9276531.81619615
30020,2018,Eastern Gulf of Alaska,22453.2700577131,3640503.60636404
30020,2018,Central Gulf of Alaska,19636.6155407186,3664602.2750938
30020,2019,Eastern Gulf of Alaska,18683.6402683775,870830.363595157
30020,2019,Western Gulf of Alaska,18104.4450733266,26641443.019853
30020,2019,Central Gulf of Alaska,19329.1740604331,5118130.53758921
30020,2020,Central Gulf of Alaska,18657.1853313504,14300323.2736028
30020,2020,Western Gulf of Alaska,9468.64700770709,2227180.68650257
30020,2020,Eastern Gulf of Alaska,13300.2297084834,687287.569215544
30020,2021,Central Gulf of Alaska,16327.9950866054,2877240.009338
30020,2021,Western Gulf of Alaska,7884.85272671722,534266.047665495
30020,2021,Eastern Gulf of Alaska,11081.1867644219,425496.406726399
